Temperature,Humidity,Rainfall,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Crop_Type,Land_Area,Recommended_Crop,Recommended_Fertilizer,Recommended_N,Recommended_P,Recommended_K,Overuse_Label
31.49,63.98,400.0,Loamy,5.46,66.0,53.7,57.4,Ginger,39.93,Ginger,Urea,75,50,100,Normal
19.66,89.94,108.05,Sandy,5.94,6.0,18.0,37.0,Pomegranate,46.31,Pomegranate,13:32:26 NPK,50,50,100,Normal
26.25,57.83,400.0,Clay,6.65,23.8,17.2,0.0,Pulses,37.5,Pulses,28-28,20,60,40,Normal
25.0,58.93,700.0,Loamy,7.0,120.0,60.0,45.0,Wheat,26.7,Wheat,Urea,120,60,40,Normal
23.61,21.91,100.6,Clay,5.53,30.0,63.0,16.0,Kidneybeans,39.77,Kidneybeans,DAP,25,60,30,Normal
35.79,51.94,100.22,Loamy,5.4,12.0,31.0,26.0,Mango,46.57,Mango,MOP,50,50,80,Normal
25.0,58.93,700.0,Loamy,6.5,60.0,40.0,45.0,Wheat,20.82,Wheat,Urea,120,60,40,Normal
30.0,62.18,900.0,Loamy,7.5,80.0,40.0,55.0,Jowar,17.01,Jowar,10:26:26 NPK,80,40,40,Slight_Overuse
25.0,76.04,1000.0,Loamy,7.5,120.0,20.0,50.0,Cotton,27.47,Cotton,12:32:16 NPK,120,60,60,Normal
30.0,80.19,1400.0,Loamy,7.0,95.0,40.0,50.0,Rice,5.6,Rice,Urea,80,40,40,Normal
30.0,76.04,900.0,Loamy,6.5,115.0,75.0,45.0,Cotton,12.2,Cotton,DAP,120,60,60,Normal
25.0,60.0,1500.0,Loamy,7.5,130.0,70.0,135.0,Sugarcane,30.33,Sugarcane,MOP,250,60,120,Normal
26.68,66.36,88.5,Clay,6.75,44.0,63.7,22.6,Blackgram,22.94,Blackgram,DAP,20,50,30,High_Overuse
26.4,84.41,111.02,Loamy,5.72,102.0,73.0,54.0,Banana,7.78,Banana,20-20,200,60,200,Normal
31.41,49.22,93.0,Loamy,6.83,33.0,29.0,34.0,Mango,41.08,Mango,MOP,50,50,80,Normal
29.92,94.56,28.16,Sandy,6.12,95.0,26.0,45.0,Muskmelon,38.79,Muskmelon,14-35-14,80,40,80,Normal
26.58,95.79,171.63,Sandy,6.25,36.0,27.0,26.0,Coconut,13.25,Coconut,MOP,100,40,200,Normal
27.46,58.38,99.52,Sandy,8.41,66.6,115.0,183.0,Cotton,12.53,Cotton,14-35-14,120,60,60,High_Overuse
29.75,80.48,45.04,Loamy,6.18,24.6,47.7,17.8,Mungbean,3.23,Mungbean,DAP,25,50,30,Normal
15.23,77.45,282.19,Loamy,8.5,43.0,79.0,3.0,Maize,22.21,Maize,17-17-17,120,60,40,Slight_Overuse
